property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
manganeseProperty,ExchBases_ph7-nh4oac,cmol/kg,0,1000
manganeseProperty,ExchBases_ph7-nh4oac-aas,cmol/kg,0,1000
manganeseProperty,ExchBases_ph7-nh4oac-fp,cmol/kg,0,1000
manganeseProperty,ExchBases_ph7-unkn,cmol/kg,0,1000
manganeseProperty,ExchBases_ph8-bacl2tea,cmol/kg,0,1000
manganeseProperty,ExchBases_ph8-unkn,cmol/kg,0,1000
manganeseProperty,ExchBases_ph-unkn-edta,cmol/kg,0,1000
manganeseProperty,ExchBases_ph-unkn-m3,cmol/kg,0,1000
manganeseProperty,ExchBases_ph-unkn-m3-spec,cmol/kg,0,1000
molybdenumProperty,Extr_ap14,%,0,100
molybdenumProperty,Extr_ap15,%,0,100
molybdenumProperty,Extr_ap20,%,0,100
molybdenumProperty,Extr_ap21,%,0,100
molybdenumProperty,Extr_c6h8o7-reeuwijk,%,0,100
molybdenumProperty,Extr_cacl2,%,0,100
molybdenumProperty,Extr_capo4,%,0,100
molybdenumProperty,Extr_dtpa,%,0,100
molybdenumProperty,Extr_edta,%,0,100
molybdenumProperty,Extr_h2so4-truog,%,0,100
molybdenumProperty,Extr_hcl-h2so4-nelson,%,0,100
molybdenumProperty,Extr_hcl-nh4f-bray1,%,0,100
molybdenumProperty,Extr_hcl-nh4f-bray2,%,0,100
molybdenumProperty,Extr_hcl-nh4f-kurtz-bray,%,0,100
molybdenumProperty,Extr_hno3,%,0,100
molybdenumProperty,Extr_hotwater,%,0,100
molybdenumProperty,Extr_m1,%,0,100
molybdenumProperty,Extr_m2,%,0,100
molybdenumProperty,Extr_m3,%,0,100
molybdenumProperty,Extr_m3-spec,%,0,100
molybdenumProperty,Extr_nahco3-olsen,%,0,100
molybdenumProperty,Extr_nahco3-olsen-dabin,%,0,100
molybdenumProperty,Extr_naoac-morgan,%,0,100
molybdenumProperty,Extr_nh4ch3ch-oh-cooh-leuven,%,0,100
molybdenumProperty,Extr_nh4-co3-2-ambic1,%,0,100
molybdenumProperty,Total_h2so4,%,0,100
molybdenumProperty,Total_hcl,%,0,100
molybdenumProperty,Total_hcl-aquaregia,%,0,100
molybdenumProperty,Total_hclo4,%,0,100
molybdenumProperty,Total_hno3-aquafortis,%,0,100
molybdenumProperty,Total_nh4-6mo7o24,%,0,100
molybdenumProperty,Total_tp03,%,0,100
molybdenumProperty,Total_tp04,%,0,100
molybdenumProperty,Total_tp05,%,0,100
molybdenumProperty,Total_tp06,%,0,100
molybdenumProperty,Total_tp07,%,0,100
molybdenumProperty,Total_tp08,%,0,100
molybdenumProperty,Total_tp09,%,0,100
molybdenumProperty,Total_tp10,%,0,100
molybdenumProperty,Total_unkn,%,0,100
molybdenumProperty,Total_xrd,%,0,100
molybdenumProperty,Total_xrf,%,0,100
molybdenumProperty,Total_xrf-p,%,0,100
molybdenumProperty,Total_xtf-t,%,0,100
